Genre,Series Name,Series URL,Episode Title,Broadcast Date,Audio Source / Link
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Justice,1943.06.12,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-06-12_justice.mp3&dl_series=The Whistler&dl_title=Justice&dl_date=1943.06.12&dl_size=6.73 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,House Of Fear,1943.06.19,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-06-19_house_of_fear.mp3&dl_series=The Whistler&dl_title=House Of Fear&dl_date=1943.06.19&dl_size=6.73 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,The Blank Wall,1943.06.26,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-06-26_the_blank_wall.mp3&dl_series=The Whistler&dl_title=The Blank Wall&dl_date=1943.06.26&dl_size=6.88 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,The Avengers,1943.07.02,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-07-02_the_avengers.mp3&dl_series=The Whistler&dl_title=The Avengers&dl_date=1943.07.02&dl_size=6.73 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,An Eye For An Eye,1943.07.09,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-07-09_an_eye_for_an_eye.mp3&dl_series=The Whistler&dl_title=An Eye For An Eye&dl_date=1943.07.09&dl_size=6.66 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Death In The Air,1943.08.13,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-08-13_death_in_the_air.mp3&dl_series=The Whistler&dl_title=Death In The Air&dl_date=1943.08.13&dl_size=6.87 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Destiny,1943.09.03,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-09-03_destiny.mp3&dl_series=The Whistler&dl_title=Destiny&dl_date=1943.09.03&dl_size=6.67 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Tangled Web,1943.09.10,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-09-10_tangled_web.mp3&dl_series=The Whistler&dl_title=Tangled Web&dl_date=1943.09.10&dl_size=6.49 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Blind Alley,1943.09.24,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-09-24_blind_alley.mp3&dl_series=The Whistler&dl_title=Blind Alley&dl_date=1943.09.24&dl_size=6.76 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Mirage,1943.10.03,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-10-03_mirage.mp3&dl_series=The Whistler&dl_title=Mirage&dl_date=1943.10.03&dl_size=6.71 MB
